곡명,첫번째 점수,두번째 점수
覚帝神刻,9981389,0
Sci-Φ-nder,9790976,0
Stellar Pilgrim,9907630,0
Any％,9701823,0
Smintheus,9903166,0
断罪のミメシス,9946313,0
ΛVYXXIRENIΛ,9918738,0
ΔLI∇E,9887759,0
ULTRACHARGE,9901729,0
Solitary Poison,9851485,0
凌天滅狐,9944468,0
Dement ~After Legend~,9993638,0
Vanishment for reconstruction,9842271,0
Leflector,9947851,0
ASTRL GG,9931478,0
KISKIL-LILLA,9952052,0
No→to,9931426,0
Masterstroke,9841590,0
RUINA,9874930,0
Roar of Chronos,9964109,0
Circumzenith Arc,9935495,0
Down with your Love,9941837,0
華麗なる！音戯探偵ひなビタ♫,9590476,0
XELENOPHOEBEA,9927968,0
DANGER XLOZE,9963049,0
ShowDawn,9984984,0
"Pick up, Me!",9662751,0
ミスクレイジースピード,9835703,0
Anti-Matter,9929061,0
Veins Resonance,9961656,0
Glitch N Ride,9757539,0
fixer,9309568,0
華麗なる一撃,9963956,0
Zt!ri△,9914400,0
天鯨譚,9932162,0
Plan 8,9973328,0
Blue Diamond,9931789,0
ИEXTAGE,9929520,0
L (SDVX ver.),9995448,0
L2 -Reminiscence- (SDVX ver.),9919217,0
お返事まだカナ？おじさん構文！,9932160,0
稲田姫様に叱られちゃいました＃ ～ Romantic Shortfall,9966527,0
Synthesis.,9973262,0
777 (Vocal ver.),9712735,0
Celestial Conquest,9955147,0
"Zany Arcadia ""E""",9977556,0
双星の冒険録,9970217,0
天泣,9901752,0
Blessed Horizon,9945581,0
#Evil_Signs_of_Bloodlines,9885755,0
Divine Ether,9935870,0
東風に鳴き翠嵐を想う,9922941,0
Timepiece phase Ⅱ,9920329,0
// If Summer Ever Comes_,9919073,0
ØVER《Δ》,9731903,0
オムニシエント・ゼロ,9938819,0
KINGDOM COME,9934624,0
Grαnd Arχitect,9934210,0
EYE OF THE HEAVEN,9845599,0
Electronic Sports Complex,9991519,0
EROICA,9928148,0
エクスプロウル,9945103,0
SCHWARZSCHILD FIELD,9939024,0
神威,9939620,0
神凪,9925493,0
Gryphone,9939707,0
黒蝶のワルツ,9914529,0
Who then no 灯,9918294,0
What's up? Pop!,9931892,0
シュレーディンガーの猫,9911727,0
Ardenok,9932402,0
Our garden is blue.,9962518,0
Golden Rotation,9922480,0
Titanomachia,9957249,0
流転に咲く魂の花,9923228,0
XROSS INFECTION -xiRemix-,9899216,0
The world of sound -celestial mix-,9891635,0
ぼくらのはじまりのおと,9942655,0
Line markeR,9903433,0
Crack Traxxxx (108x3 BPM Remix),9572263,0
大宇宙ステージ奈落変,9943457,0
Superstar!,9909805,0
永久の粒虹,9930278,0
ヴァルプルギスの夜,9933455,0
Guinevere～白き妖精～,9815000,0
細氷,9922394,0
X1GNUS,9942987,0
Nebula Dysorder,9867792,0
Little Red Riding Hood,9769264,0
while (screen is blue),9916187,0
Everything B.K.,9639746,0
ΛNXIENT:LEGΛXIEZ,9954718,0
ØverwriteTheCatastrophe,9929462,0
COSMIC V3LOCITY,9902386,0
SOLAR ECLIPSE,9962951,0
Imitated Visions,9955669,0
こどもかくしのアンダーランド,9922440,0
憧憬のファンファーレ,9910377,0
Xinca,9915413,0
JACK -the KING Ki11ing-,9933285,0
すべてを賭して,9911366,0
Don't you dare play GOD,9921418,0
OROCHI STRIKE,9830246,0
Blφφdy Cφncertφ,9737950,0
REINCARNATION,9925844,0
Lichtsäule,9899007,0
ARACHNE,9907821,0
アイの雫,9916623,0
XΛLT=ØVER,9906648,0
Entropic EnĤαncemEnt,9954007,0
SAD1STIC Я04D,9921622,0
Sweetie Beauti Magic,4860084,0
HEAVEN KNOWS,9927500,0
Max Burning!!(GαineN Beyond yΩu Remix),9904507,0
ARISE,9919522,0
Allegro Saetta,9927318,0
{ eXLIPXe },9860302,0
BEMANI PRO LEAGUE -SEASON 2- SOUND VOLTEX ULTIMATE MEDLEY,9984227,0
Cuz we <3 this Game,9776863,0
Xeno Gravity,9884760,0
NEMSYS ARENA World Hexathlon,9957884,0
異次元の孤独～カナタノキミヘ～,9970892,0
SΛMVICΛ,9925962,0
MΔX FLAVØR,9910526,0
Ars Magna,9941206,0
LOVE TONIC,9948830,0
Break Through Δpex,9948167,0
イグジスター,9914929,0
花火のおもちゃ箱,9930196,0
La Nostra Storia!,9902324,0
Ambivalent Vermilia,9951146,0
ON THE WORLD,9970760,0
群青纏う朱の槍,9911242,0
CHOVERY GOOSE!!!,9950235,0
トリコエリヌム▽コンチェルト,9838844,0
Double or Nothing,9925943,0
アンチグラビティ・ガール,9968956,0
Circuit Surfer,9911436,0
ちくわパフェだよ☆ＣＫＰ (Yvya Remix),9898823,0
めうめうぺったんたん！！ (ZAQUVA Remix),9920201,0
Λkasha,9947580,0
=∴NOMADE∵OTION=,9892422,0
OVEЯ+TUЯE,9924990,0
随神,9944093,0
TOKAKU=ALMiRAJ,9917142,0
Burst Λnd reBoost,9908650,0
Sayonara Planet Wars (Sot-C Remix),9922073,0
QQ,9938345,0
Undead Raving Scare,9904850,0
and After the Merry BADEND,9913889,0
Enter The Rave,9929714,0
Please Welcome Mr.C,9909383,0
One More Lovely,9913726,0
Voice 7 Voice!!!!!!!,9895705,0
suspicions,9772170,0
APØCALYPSE RAY,9935649,0
Spectacular“V”Adventure!,9933987,0
パーフェクトイーター,9818763,0
BLISS,9913651,0
Breakneck Pursuit,9917818,0
忘れないように、失くさないように,9833088,0
Absurd Gaff (Metallize Remix),9908293,0
うぇるかむ -||祭みっくす||-,9928340,0
劇場版ムーニャポヨポヨスッポコニャーゴ~侵略だいず帝国！ドラマティック宇宙大戦争~,9933891,0
D.I.X.,9958075,0
ハッピーエンド,9969730,0
CadenzaMaiden,9951331,0
無意識レクイエム (cosmobsp rmx),9936133,0
ENERGY SYNERGY MATRIX,9915745,0
赫焉のヴァルキュリア -Ragnarøk-,9925280,0
SuddeИDeath,9917161,0
HALO,9902807,0
零天視,9912572,0
アガット,9964268,0
少年リップルズ,9944944,0
Glory of Fighters,9815122,0
All We Need is HAPPY END!!!,9916666,0
DEUX EX MĀXHINĀ,9909599,0
MILITARY R04D,9890610,0
禊,9918335,0
恋愛＝精度×認識力,9761435,0
Thousand Triggers,9900275,0
trea→journey,9930907,0
イグノアザーズ,9808333,0
Paradigm Shift,9984331,0
Fl0ating:,9698467,0
最果ての勇者にラブソングを,9887514,0
Scat Jazz Dance,9905490,0
Ice Fortress,9873307,0
graduation,9982862,0
MURASAME,9659896,0
ENDGAME,9985458,0
WINNING ROAD,9857784,0
神罰,9965104,0
Hydroblast,9829812,0
[ ]DENTITY,9914078,0
VOLAQUAS,9950887,0
Snowmelt,9956485,0
perditus†paradisus,9914103,0
White Stream,9878296,0
You Are My Best RivaL!!,9935756,0
Imperator,9932218,0
ØƵ,9982976,0
MEGALOVANIA,9933527,0
涙の女神と無形のエトワル,9945308,0
夢幻泡影,9987066,0
いまきみに,9931097,0
赫焉,9897151,0
光風霽月,9931398,0
VΛZiLiSQ,9950298,0
Fαtα∠ Ent∠mEnt,9926004,0
Avalanx,9905492,0
すべてが幻になった後で,9552948,0
Bl∞min',9944125,0
LaμreLs ~the Angelus~,9863399,0
Across the Starlight,9949523,0
Kontrol Line,9843039,0
NOT YOUR IDOL,9974662,0
"ピアノ独奏無言歌 ""灰燼""",9698224,0
THE WORLD REVOLVING,9967845,0
紫焔双穿,9905630,0
FAR GONE,9661150,0
Holy Trail,9918444,0
CLAMARE,9968787,0
蝕,9904878,0
十の試煉,9874646,0
Xb10r,9868421,0
火狐之舞,9982046,0
MixxioN,9927912,0
Rhapsody ⚙f Triumph,9918748,0
refluxio,9812104,0
EncorE & cALL,9916579,0
Wings to fly high,9787022,0
All for One,9905573,0
AμreoLe ~for Triumph~,9920000,0
XHRONOXAPSULΞ,9906493,0
ZEUS,9934733,0
2 Beasts Unchained,9943502,0
ピアノ協奏曲第１番”蠍火”,9773242,0
Fegrix,9994731,0
ゔぉるみっくす!!!!,9810874,0
Test Flight,9986072,0
Unleashed Redness,9974237,0
Rapsodia d'amore,9927281,0
Refrain,9951573,0
Archangelio,9915581,0
竹,9893009,0
《Re:miniscence》,9932432,0
The King Of Red,9945130,0
The Clown of 24stairs,9836751,0
Reverenced Flower,9877835,0
End of Guilty,9836683,0
BAYONEX,9924094,0
αzalea,9937017,0
ドゥサンコオデッセイ!!,9907453,0
ばらんが!!!!,9817351,0
ディスコルディア,9924354,0
Verflucht,9982486,0
Elemental Creation -xiRemix-,9606805,0
Macuilxochitl (Latin Jazz Mix),9925742,0
Vanishing Eidos,9755542,0
SuperMiracleEnsemble,9905660,0
onslaught -Retaliation of Bahamūt-,9697530,0
Chronomia,9874921,0
777,9931861,0
Destr0yer,9948953,0
Bad Elixir,9913000,0
VALKYRIE ASSAULT,9965706,0
緋色月下、狂咲ノ絶 (nayuta 2017 ver),9904371,0
POSSESSION (Aoi Q.E.D. RMX),9765047,0
世界の果てに約束の凱歌を -VOLTEX Mix-,9909129,0
With It This Heaven?,9897011,0
Calamity Tempest,9837247,0
Daisycutter,9916543,0
飄える翼追い掛けて,9904250,0
ΛΛemoria,9937094,0
Lisa-RICCIA,9923960,0
†:OLPHEUX:†,9924585,0
GEMINI LA2ER,9906307,0
LubedeR,9865661,0
Redshift 2nd Ignition,9944006,0
Яe:son D'être,9902022,0
memento mori -intro-,9959829,0
Xroniàl Xéro,9782515,0
Re：Elemental Creation,9877338,0
卑弥呼,9930007,0
Over The Top,9981304,0
αρχη,9851733,0
Nebulas,9937158,0
MeteorA,9968125,0
色を喪った街,9838782,0
ENDYMION,9813704,0
Katharsis,9936061,0
SAMURAI TIGER,9930865,0
666,9903486,0
ZEИITH,9955947,0
9TH5IN,9910007,0
ЯeviveR,9932875,0
Elemental Creation (kamome sano Remix),9936823,0
ANGER of the GOD,9927909,0
Valanga(polysha Remix),9798734,0
Vividly Impromptu,9970059,0
Call of the World,9962039,0
Turn the story,9927789,0
Übertreffen,9983818,0
OUTERHEΛVEN,9902739,0
"* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",9618823,0
θコトノハθカプセルθ,9912137,0
Pulsar,9840739,0
pique,9841713,0
タイムトラベル,9968737,0
Trill auf G,9944715,0
voltississimo,9938501,0
ΩVERFLOW,9859562,0
Ghost Family Living In Graveyard,9870645,0
星の透る夏空に願う,9734219,0
Lancelot ～Flame of the Rebellion～,9844976,0
Aerial Fortress,9949515,0
Dogeza Stairs,9963976,0
LECTORIA,9963063,0
To:BrandNewDeadline,9931018,0
THE凸GENERATOR,9822134,0
ツマミ戦隊 タテレンジャー,9981609,0
Barbatos,9963721,0
SociuS,9952647,0
TENKAICHI ULTIMATE BOSSRUSH MEDLEY,9909897,0
び,9932677,0
ARROW RAIN feat. ayame,9919559,0
GALAXY BURST,9847110,0
V,9946455,0
ULTRAVELOCITY,9895446,0
Cross Fire,9924766,0
GODHEART,9903489,0
THE HEAVEN,9948109,0
祝福の色彩は想い結ぶ君たち迄,9909341,0
*Feels Seasickness...*,9932052,0
MODEL FT4,9864532,0
Yum Yum Sweetie,9953161,0
ouroboros -twin stroke of the end-,9921486,0
逆月,9949272,0
Xevel,9957776,0
Elemental Creation,9974576,0
STULTI,9928003,0
Venomous Firefly,9925023,0
Nostalgic Blood of the Strife,9982428,0
PROVOES*PROPOSE <<êl fine>>,9680792,0
Puberty Dysthymia,9883932,0
Prey,9885659,0
Absolute Domination,9903763,0
オニユリ,9979323,0
Xronièr,9924056,0
サイコパスラビット,9932576,0
そして黄金郷へ,9934756,0
光射す澪のユズリハ,9903940,0
Failnaught,9802946,0
Fly Like You,9902391,0
FREEDOM DiVE,9927803,0
ホワイトパレード,9945887,0
Reb∞t,9943389,0
Gate of Atlantis,9902450,0
MeteorGlow Aftermath,9826388,0
ECHIDNA,9972347,0
Chrono Diver -PENDULUMs-,9910030,0
Nexta,9885738,0
SAtAN,9934497,0
Divine's:Bugscript,9945836,0
Re：End of a Dream,9914134,0
業焔繚乱,9918788,0
Sky High,9934210,0
BELOBOG,9929709,0
Awakening,9859096,0
Xéroa,9748892,0
GERBERA-For Finalists-,9919626,0
A Lasting Promise,9955916,0
Cloud 9,9914312,0
神話に芽吹く,9926645,0
Last Resort,9912810,0
НУМЛ,9900475,0
極彩天奏,9889240,0
Lowermost revolt,9972222,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,9911616,9909665
Khionos TiARA,9959855,0
#SpeedyCats,9946610,0
TWO-TORIAL,9915289,0
Hug!! Vs. Hug!!,9744586,0
GERBERA,9907407,0
HP:1,9910403,0
怒槌,9983461,0
Scarlet Lance,9816777,0
Doppelganger,9946576,0
Concertino in Blue,9923857,0
ULTiMATE INFLATiON,9974480,0
神獄烙桜,9932052,0
Juggler's Maddness,9968994,0
Staring at star,9955235,0
セイレーン ～悲壮の竪琴～,9900865,0
Dyscontrolled Galaxy,9809340,0
Deadly force,9962141,0
FIN4LE ～終止線の彼方へ～,9928216,0
Mirrorwall,9907113,0
PUPA,9961505,0
JUNKIE FLAVOR,9960317,0
Legendary Road,9962192,0
Gorgetech,9932203,0
Cepheus,9926601,0
FLOOR INFECTION Medley from SOUND VOLTEX×jubeat,9955287,0
POLICY BREAK Medley from SOUND VOLTEX×jubeat,9873782,0
ΩVERSOUL,9921212,0
Gamerz FestivaL,9958200,0
Sailing Force,9912118,0
